ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
00IS,small_airport,Hayenga's Cant Find Farms Airport,820.0,None,US,US-IL,Kings,00IS,None,00IS,"-89.1229019165039, 40.02560043334961"
00NY,small_airport,Weiss Airfield,1000.0,None,US,US-NY,West Bloomfield,00NY,None,00NY,"-77.49970245361328, 42.90010070800781"
00SC,small_airport,Flying O Airport,150.0,None,US,US-SC,Sumter,00SC,None,00SC,"-80.26719665527344, 34.0093994140625"
00TN,small_airport,Ragsdale Road Airport,1100.0,None,US,US-TN,Manchester,00TN,None,00TN,"-85.95359802246094, 35.515899658203125"
00VI,small_airport,Groundhog Mountain Airport,2680.0,None,US,US-VA,Hillsville,00VI,None,00VI,"-80.49949645996094, 36.663299560546875"
01CA,heliport,Lugo Substation Heliport,3733.0,None,US,US-CA,Hesperia,01CA,None,01CA,"-117.370058745, 34.368240591699994"
01IA,small_airport,Stender Airport,725.0,None,US,US-IA,Maysville,01IA,None,01IA,"-90.74130249023438, 41.66109848022461"
01J,small_airport,Hilliard Airpark,59.0,None,US,US-FL,Hilliard,01J,None,01J,"-81.90570068359375, 30.68630027770996"
01NC,small_airport,Topsail Airpark,65.0,None,US,US-NC,Holly Ridge,01NC,None,01NC,"-77.5813980102539, 34.47529983520508"
01NH,small_airport,Moore Airfield,835.0,None,US,US-NH,Canaan,01NH,None,01NH,"-72.086998, 43.6445"
01TS,closed,St Joseph Hospital Heliport,675.0,None,US,US-TX,Fort Worth,None,None,None,"-97.324501, 32.7285"
02HI,heliport,K3 Helipad Heliport,9.0,None,US,US-HI,Pearl Harbor,02HI,None,02HI,"-157.9510040283203, 21.36199951171875"
02II,small_airport,King Ultralightport,925.0,None,US,US-IN,Westfield,02II,None,02II,"-86.21050262451172, 40.06230163574219"
02MI,small_airport,Fairplains Airpark,850.0,None,US,US-MI,Greenville,02MI,None,02MI,"-85.14849853515625, 43.157100677490234"
02TX,small_airport,The Palms At Kitty Hawk Airport,3235.0,None,US,US-TX,New Home,02TX,None,02TX,"-101.92288208, 33.3704032898"
03FD,closed,Tharpe Airport,115.0,None,US,US-FL,Bonifay,None,None,None,"-85.731003, 30.8288"
03FL,heliport,Ranger Heliport,20.0,None,US,US-FL,West Palm Beach,03FL,None,03FL,"-80.18730163574219, 26.683700561523438"
03ID,small_airport,Flying Y Ranch Airport,3180.0,None,US,US-ID,Council,03ID,None,03ID,"-116.53299713134766, 44.7943000793457"
03KS,heliport,Valley Grain Heliport,1160.0,None,US,US-KS,Highland,03KS,None,03KS,"-95.26409912109375, 39.86470031738281"
03MD,heliport,Upper Chesapeake Medical Center Heliport,302.0,None,US,US-MD,Bel Air,03MD,None,03MD,"-76.32669830322266, 39.522499084472656"
04AA,small_airport,Flying W Ranch Airport,250.0,None,US,US-AK,Soldotna,04AA,None,04AA,"-150.811387, 60.535833"
04MT,small_airport,Pluhar Airport,2715.0,None,US,US-MT,Cohagen,04MT,None,04MT,"-106.488095, 47.13749777779999"
04NJ,small_airport,Emmanuel Airport,155.0,None,US,US-NJ,Elmer,04NJ,None,04NJ,"-75.2334976196, 39.596801757799994"
04NV,small_airport,Kingston Ranch Airport,2620.0,None,US,US-NV,Sandy Valley,04NV,None,04NV,"-115.665000916, 35.7555007935"
04TA,closed,Capitol National Bank Building Heliport,540.0,None,US,US-TX,Austin,04TA,None,04TA,"-97.745275, 30.270262"
04V,small_airport,Saguache Municipal Airport,7826.0,None,US,US-CO,Saguache,04V,None,04V,"-106.1743889, 38.0990833"
04XA,small_airport,Pecan Field,1130.0,None,US,US-TX,Jermyn,04XA,None,04XA,"-98.402861, 33.283933"
05AZ,heliport,Yuma Regional Medical Center Heliport,200.0,None,US,US-AZ,Yuma,05AZ,None,05AZ,"-114.634346, 32.683452"
06FL,heliport,Morton Plant Hospital Heliport,3.0,None,US,US-FL,Clearwater,06FL,None,06FL,"-82.8042984008789, 27.953399658203125"
06KS,heliport,Riverside Hospital Airlift Heliport,1332.0,None,US,US-KS,Wichita,06KS,None,06KS,"-97.37249755859375, 37.69580078125"
06ME,heliport,Barker Heliport,649.0,None,US,US-ME,Bethel,06ME,None,06ME,"-70.844275, 44.415247"
07CA,heliport,West Side Hospital Heliport,850.0,None,US,US-CA,Taft,07CA,None,07CA,"-119.45099639892578, 35.13890075683594"
07IN,small_airport,Gray Airport,750.0,None,US,US-IN,Boggstown,07IN,None,07IN,"-85.91390228271484, 39.573699951171875"
07K,small_airport,Central City Municipal - Larry Reineke Field,1717.0,None,US,US-NE,Central City,07K,None,07K,"-98.0516967773, 41.1125984192"
07WI,closed,Bartell Strip,990.0,None,US,US-WI,Genessee Depot,None,None,None,"-88.391502, 42.965302"
08CA,heliport,Pg & E Co. Placerville Svc Center Heliport,1810.0,None,US,US-CA,Diamond Springs,08CA,None,08CA,"-120.8270034790039, 38.69490051269531"
08F,small_airport,City of Coalgate Airport,615.0,None,US,US-OK,Coalgate,08F,None,08F,"-96.23310089111328, 34.53179931640625"
08FA,small_airport,Duda Airstrip,35.0,None,US,US-FL,La Belle,08FA,None,08FA,"-81.48370361328125, 26.57979965209961"
08FD,small_airport,Sunniland Ranch Airport,65.0,None,US,US-FL,Okeechobee,08FD,None,08FD,"-80.77279663085938, 27.363100051879883"
