Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABST,Absolute Software Corporation Common Stock,$13.87,0.18,1.32%,686711842.0,Canada,2020.0,25304,None,None
ABCM,Abcam plc American Depositary Shares,$18.67,-0.09,-0.48%,4233470239.0,United Kingdom,2020.0,98622,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AAPL,Apple Inc. Common Stock,$145.64,0.66,0.46%,2525010197600.0,United States,1980.0,56496146,Technology,Computer Manufacturing
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$9.93,0.0,0.00%,60116220.0,Hong Kong,2021.0,2,Miscellaneous,Business Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,$9.95,0.0,0.00%,0.0,United States,2021.0,4122,None,None
ACKIU,Ackrell SPAC Partners I Co. Units,$10.2003,-0.0397,-0.39%,0.0,United States,2020.0,2004,None,None
ABIO,ARCA biopharma Inc. Common Stock,$3.41,0.37,12.17%,49138588.0,United States,None,6183207,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.90,0.001,0.11%,0.0,United States,2021.0,1664,None,None
ACBI,Atlantic Capital Bancshares Inc. Common Stock,$24.70,-0.1,-0.40%,501923809.0,United States,None,247166,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,$47.27,-0.24,-0.51%,3123305690.0,United States,2020.0,530575,None,None
ACIU,AC Immune SA Common Stock,$7.11,-0.26,-3.53%,516560370.0,Switzerland,2016.0,384592,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.61,-0.04,-1.10%,561345686.0,United Kingdom,2015.0,261681,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,$0.7102,0.0002,0.03%,0.0,United States,2018.0,3168,Health Care,Major Pharmaceuticals
ADTN,ADTRAN Inc. Common Stock,$22.60,0.55,2.49%,1093743023.0,United States,1994.0,200253,Capital Goods,Telecommunications Equipment
ADXS,Advaxis Inc. Common Stock,$0.412,-0.018,-4.19%,60003045.0,United States,None,1856229,Health Care,Major Pharmaceuticals
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$9.67,-0.01,-0.10%,290100000.0,United States,2021.0,708,Finance,Business Services
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),$3.08,0.12,4.05%,17670832.0,China,None,732816,Capital Goods,Building Products
AEIS,Advanced Energy Industries Inc. Common Stock,$102.32,0.68,0.67%,3930677746.0,United States,1995.0,158697,Consumer Durables,Electrical Products
AEP,American Electric Power Company Inc. Common Stock,$89.14,0.15,0.17%,44592404358.0,United States,None,1950374,Public Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,$2.03,-0.02,-0.98%,79453189.0,United States,2017.0,100859,Consumer Services,Services-Misc. Amusement & Recreation
AFIB,Acutus Medical Inc. Common Stock,$15.21,0.08,0.53%,511421907.0,United States,2020.0,416432,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
