Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AB,AllianceBernstein Holding L.P.  Units,$48.18,1.71,3.68%,4841600925.0,United States,None,421646,Finance,Investment Managers
ABR,Arbor Realty Trust Common Stock,$18.12,0.09,0.50%,2577816595.0,United States,2004.0,1797928,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc Class A Ordinary Shares (Ireland),$318.35,2.04,0.65%,201877397434.0,Ireland,2001.0,1863807,Miscellaneous,Business Services
ACIC,Atlas Crest Investment Corp. Class A Common Stock,$9.92,0.05,0.51%,620000000.0,United States,2020.0,328875,None,None
AAIC,Arlington Asset Investment Corp Class A (new),$3.98,0.01,0.25%,133255100.0,United States,None,113126,Consumer Services,Real Estate Investment Trusts
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$213.39,1.14,0.54%,13964000469.0,United States,None,452714,Consumer Services,Other Specialty Stores
AAQC,Accelerate Acquisition Corp. Class A Common Stock,$9.66,-0.02,-0.21%,483000000.0,None,2021.0,5015,None,None
ACRE,Ares Commercial Real Estate Corporation Common Stock,$15.37,0.06,0.39%,722407230.0,United States,2012.0,579550,Consumer Services,Real Estate Investment Trusts
ADF,Aldel Financial Inc. Class A Common Stock,$9.74,-0.03,-0.31%,145588650.0,None,2021.0,6116,None,None
AFL,AFLAC Incorporated Common Stock,$55.61,1.82,3.38%,37796294883.0,United States,None,4448968,Finance,Accident &Health Insurance
AGI,Alamos Gold Inc. Class A Common Shares,$8.12,0.04,0.50%,3189043368.0,Canada,2015.0,5079799,Basic Industries,Precious Metals
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,$25.86,-0.12,-0.46%,None,United States,None,7355,None,None
AGO,Assured Guaranty Ltd. Common Stock,$48.08,1.35,2.89%,3619943200.0,Bermuda,2004.0,518338,Finance,Property-Casualty Insurers
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,$26.86,-0.09,-0.33%,None,United States,None,7237,None,None
ADC,Agree Realty Corporation Common Stock,$74.68,-0.1,-0.13%,5147118260.0,United States,None,298510,Consumer Services,Real Estate Investment Trusts
ADNT,Adient plc Ordinary Shares,$42.04,2.11,5.28%,3960517142.0,None,2016.0,522185,Capital Goods,Auto Parts:O.E.M.
AI,C3.ai Inc. Class A Common Stock,$51.67,-1.12,-2.12%,5343759660.0,None,2020.0,1163548,Technology,Computer Software: Prepackaged Software
ADS,Alliance Data Systems Corporation Common Stock,$97.37,-1.72,-1.74%,4841590632.0,United States,2001.0,661198,Finance,Diversified Financial Services
AGCO,AGCO Corporation Common Stock,$127.14,1.37,1.09%,9580186150.0,United States,None,1075944,Capital Goods,Industrial Machinery/Components
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$25.39,0.0,0.00%,0.0,United States,2015.0,400,Finance,Finance/Investors Services
AIT,Applied Industrial Technologies Inc. Common Stock,$89.05,1.85,2.12%,3460428412.0,United States,None,77641,Capital Goods,Industrial Machinery/Components
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,$25.0195,-0.0102,-0.04%,0.0,United States,None,289,Consumer Services,Real Estate Investment Trusts
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,$26.00,0.09,0.35%,None,None,None,4081,None,None
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,$26.82,0.07,0.26%,None,United States,None,1048,None,None
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$34.35,0.28,0.82%,355657152.0,United States,2015.0,46258,Finance,Finance/Investors Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,$27.40,0.11,0.40%,None,United States,None,9886,None,None
AMPI,Advanced Merger Partners Inc. Class A Common Stock,$9.76,0.01,0.10%,350750000.0,None,2021.0,1215,None,None
ADX,Adams Diversified Equity Fund Inc.,$20.22,0.09,0.45%,2244968387.0,United States,None,114710,Finance,Investment Managers
ALE,Allete Inc.,$71.38,0.14,0.20%,3725244324.0,United States,None,114223,Public Utilities,Power Generation
AMRC,Ameresco Inc. Class A Common Stock,$68.02,1.0,1.49%,3487414309.0,United States,2010.0,145394,Basic Industries,Water Supply
ANF,Abercrombie & Fitch Company Common Stock,$38.36,0.55,1.46%,2360578308.0,United States,None,1282799,Consumer Services,Clothing/Shoe/Accessory Stores
AGO^F,Assured Guaranty Ltd.,$26.63,0.18,0.68%,None,Bermuda,None,10845,None,None
ALG,Alamo Group Inc. Common Stock,$145.86,1.99,1.38%,1739119702.0,United States,None,17664,Capital Goods,Industrial Machinery/Components
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,$10.29,0.06,0.59%,1084884980.0,United States,2007.0,199807,Finance,Investment Managers
AGX,Argan Inc. Common Stock,$45.00,0.42,0.94%,709624800.0,United States,None,48467,Basic Industries,Water Supply
ALIT,Alight Inc. Class A Common Stock,$9.02,-0.08,-0.88%,1166962500.0,None,2021.0,1672555,Finance,Business Services
