city,country,lat,lng,short_iso,long_iso,population
London,United Kingdom,51.5072,-0.1275,GB,GBR,10979000.0
Jakarta,Indonesia,-6.2146,106.8451,ID,IDN,34540000.0
Rio de Janeiro,Brazil,-22.9083,-43.1964,BR,BRA,12272000.0
Chengdu,China,30.6636,104.0667,CN,CHN,11309000.0
Baoding,China,38.8671,115.4845,CN,CHN,10700000.0
Heze,China,35.2333,115.4333,CN,CHN,8750000.0
Dongguan,China,23.0475,113.7493,CN,CHN,7981000.0
Santiago,Chile,-33.45,-70.6667,CL,CHL,7007000.0
Cangzhou,China,38.3037,116.8452,CN,CHN,6800000.0
Changde,China,29.0397,111.6839,CN,CHN,5717200.0
Nairobi,Kenya,-1.2864,36.8172,KE,KEN,5545000.0
Washington,United States,38.9047,-77.0163,US,USA,5379184.0
Pudong,China,31.2231,121.5397,CN,CHN,5187200.0
Guilin,China,25.2667,110.2833,CN,CHN,4747963.0
Changzhou,China,31.8122,119.9692,CN,CHN,4592431.0
Binzhou,China,37.3806,118.0125,CN,CHN,3779200.0
Detroit,United States,42.3834,-83.1024,US,USA,3506126.0
Mashhad,Iran,36.3069,59.6042,IR,IRN,3001184.0
Kyiv,Ukraine,50.45,30.5236,UA,UKR,2967000.0
Huzhou,China,30.8695,120.0958,CN,CHN,2893542.0
Qinhuangdao,China,39.9398,119.5881,CN,CHN,2800000.0
Xiangtan,China,27.8431,112.9228,CN,CHN,2748552.0
Baoshan,China,25.1211,99.169,CN,CHN,2506491.0
Bekasi,Indonesia,-6.2333,107.0,ID,IDN,2381053.0
Medan,Indonesia,3.6667,98.6667,ID,IDN,2210625.0
St. Louis,United States,38.6358,-90.2451,US,USA,2024074.0
Lubumbashi,Congo (Kinshasa),-11.6697,27.4581,CD,COD,1786397.0
Esfahan,Iran,32.6447,51.6675,IR,IRN,1756126.0
Yushan,China,31.3867,120.9766,CN,CHN,1651200.0
Charlotte,United States,35.208,-80.8304,US,USA,1512923.0
Tokyo,Japan,35.6897,139.6922,JP,JPN,37977000.0
Karachi,Pakistan,24.86,67.01,PK,PAK,14835000.0
Changchun,China,43.9,125.2,CN,CHN,7674439.0
Dazhou,China,31.2152,107.4947,CN,CHN,5693000.0
Jieyang,China,23.5533,116.3649,CN,CHN,5634000.0
Bozhou,China,33.8626,115.7742,CN,CHN,5100000.0
Melbourne,Australia,-37.8136,144.9631,AU,AUS,5078193.0
Anqing,China,30.5,117.0333,CN,CHN,4723000.0
Qingyuan,China,23.6842,113.0507,CN,CHN,3874000.0
Seattle,United States,47.6211,-122.3244,US,USA,3789215.0
Jiaozuo,China,35.229,113.2304,CN,CHN,3540101.0
Madrid,Spain,40.4189,-3.6919,ES,ESP,3266126.0
Santa Cruz,Bolivia,-17.7892,-63.1975,BO,BOL,3151676.0
Meishan,China,30.0575,103.8381,CN,CHN,3020000.0
La Paz,Bolivia,-16.4942,-68.1475,BO,BOL,2867504.0
Yaounde,Cameroon,3.8578,11.5181,CM,CMR,2440462.0
Huainan,China,32.4831,117.0164,CN,CHN,2409000.0
Queens,United States,40.7498,-73.7976,US,USA,2230722.0
Quzhou,China,28.9545,118.8763,CN,CHN,2185000.0
Baku,Azerbaijan,40.3667,49.8352,AZ,AZE,2181800.0
Havana,Cuba,23.1367,-82.3589,CU,CUB,2141652.0
Gaziantep,Turkey,37.0667,37.3833,TR,TUR,2028563.0
Peshawar,Pakistan,34.0,71.5,PK,PAK,1970042.0
Fuxin,China,42.0127,121.6486,CN,CHN,1930000.0
Mersin,Turkey,36.8,34.6167,TR,TUR,1814468.0
